City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
46,Zemio,5.0314,25.1361,69.98,89,60,2.77,CF,broken clouds
47,Yellandu,17.6,80.3333,82.09,68,99,5.91,IN,overcast clouds
48,Cuauhtemoc,28.4167,-106.8667,68.09,9,34,10.54,MX,scattered clouds
49,Nikolskoye,59.7035,30.7861,38.71,75,100,2.98,RU,overcast clouds
50,Vaini,-21.2,-175.2,84.36,84,75,8.05,TO,broken clouds
51,Jamestown,42.097,-79.2353,34.02,50,1,3.0,US,clear sky
52,Coihaique,-45.5752,-72.0662,48.88,92,100,5.08,CL,overcast clouds
53,Zenzeli,45.9241,47.0474,51.06,79,56,10.94,RU,broken clouds
54,Norman Wells,65.282,-126.8329,20.59,80,100,4.32,CA,overcast clouds
55,Sabha,27.0377,14.4283,61.66,41,2,4.76,LY,clear sky
56,Erzin,36.9559,36.2,66.72,31,99,11.23,TR,overcast clouds
57,Bacolod,10.6667,122.95,85.8,66,35,10.2,PH,scattered clouds
58,Tuktoyaktuk,69.4541,-133.0374,13.46,89,100,6.38,CA,overcast clouds
59,Powell River,49.8496,-124.5361,50.32,66,100,7.92,CA,overcast clouds
60,Atuona,-9.8,-139.0333,79.74,79,12,18.3,PF,few clouds
61,Bluff,-46.6,168.3333,61.81,62,68,2.71,NZ,broken clouds
62,Filadelfia,39.9523,-75.1638,45.99,43,0,3.0,US,clear sky
63,Bethel,41.3712,-73.414,42.89,55,0,3.44,US,clear sky
64,Progreso,21.2833,-89.6667,82.11,80,0,15.12,MX,clear sky
65,Klaksvik,62.2266,-6.589,49.12,95,100,19.89,FO,overcast clouds
66,Sitka,57.0531,-135.33,46.29,49,75,4.61,US,broken clouds
67,Cidreira,-30.1811,-50.2056,67.77,73,81,11.56,BR,broken clouds
68,Allingabro,56.465,10.3341,38.64,81,4,1.99,DK,clear sky
69,Butaritari,3.0707,172.7902,81.59,73,30,12.71,KI,scattered clouds
70,Clyde River,70.4692,-68.5914,-15.65,98,85,4.21,CA,overcast clouds
71,Laya,17.4726,121.4678,83.5,64,99,2.01,PH,overcast clouds
72,Salyan,39.5936,48.9805,50.11,80,0,5.53,AZ,clear sky
73,Neryungri,56.6709,124.6491,25.38,94,100,11.7,RU,snow
74,Ucluelet,48.9329,-125.5528,49.08,73,100,3.0,CA,overcast clouds
75,Lorengau,-2.0226,147.2712,83.89,76,35,6.49,PG,scattered clouds
76,Price,39.5994,-110.8107,61.12,39,12,6.69,US,few clouds
77,New Norfolk,-42.7826,147.0587,59.67,48,100,3.0,AU,overcast clouds
78,Ribeira Grande,38.5167,-28.7,58.03,69,83,20.85,PT,broken clouds
