City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
415,Caravelas,BR,77.85,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
424,Sao Jose Da Coroa Grande,BR,78.94,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
430,Omboue,GA,77.29,light rain,-1.5746,9.2618,Hotel Olako
434,Matara,LK,82.02,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
437,Vega De Alatorre,MX,78.6,clear sky,20.0333,-96.6333,Hotel D Luxe
439,Lake Charles,US,76.03,scattered clouds,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
445,Canalete,CO,77.43,broken clouds,8.6761,-76.2042,Gomez Hernandez
450,Sola,VU,82.45,few clouds,-13.8833,167.55,Leumerus Bungalows
451,Kirakira,SB,84.6,overcast clouds,-10.4544,161.9205,SanBiz Lodge
454,Gat,IL,86.77,scattered clouds,31.61,34.7642,OlusHome
461,Bandarbeyla,SO,80.15,few clouds,9.4942,50.8122,JABIR HOTEL
464,Takoradi,GH,78.96,light rain,4.8845,-1.7554,Raybow International Hotel
472,Merauke,ID,83.91,moderate rain,-8.4667,140.3333,
480,Miri,MY,85.98,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
481,Salinopolis,BR,77.77,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
482,Kassala,SD,87.15,clear sky,15.451,36.4,Amassi Hotel Gash
483,Nakhon Phanom,TH,82.22,overcast clouds,17.3333,104.4167,ป่ายางรีสอร์ท
484,Ascension,US,77.2,clear sky,30.2169,-90.9001,Highland Inn
493,Diffa,NE,84.96,overcast clouds,13.3154,12.6113,ProDAF/Diffa
494,Quatre Cocos,MU,75.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
498,Grenville,GD,79.72,overcast clouds,12.1167,-61.6167,Valley Breeze Guest House
499,Ormara,PK,79.93,clear sky,25.2088,64.6357,Kenara Colony house for Rent
506,Yanam,IN,84.15,scattered clouds,16.7333,82.2167,The Regency Hotel
511,Lakatoro,VU,84.43,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
516,Malpura,IN,86.0,clear sky,26.2833,75.3833,Tak House cum Legal Advisory Chambers
517,Umiray,PH,80.98,scattered clouds,15.2206,121.4111,The Chairmans Residence
521,Bosaso,SO,83.79,clear sky,11.2842,49.1816,Red Sea Hotel
522,Atar,MR,85.69,overcast clouds,20.5169,-13.0499,Oumou Elghoura
524,Carlagan,PH,82.8,scattered clouds,14.975,122.0456,Cabatagan Island
530,Buluang,PH,86.43,few clouds,13.3068,123.3425,Sacueza Beach Resort
532,Xuddur,SO,75.69,moderate rain,4.1213,43.8894,Banjanay Hotel
534,Marawi,PH,79.75,overcast clouds,7.9986,124.2928,Derogongan Residence
540,Banda Aceh,ID,83.61,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
547,Farrukhnagar,IN,82.11,overcast clouds,17.0778,78.2011,Musthafa Five Star Kiranam
551,Mattru,SL,76.8,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
555,Mitsamiouli,KM,80.92,clear sky,-11.3847,43.2844,Foyer ADM
